Temperature,Density,ShearViscosity,Cp
1,0.7,1.533699097,97
1.5,0.7,1.430586789,100
2,0.7,1.431898908,99
2.5,0.7,1.484130377,100
4,0.7,1.674367282,92
1,0.778,1.781337286,64
1.25,0.778,1.700804756,64
1.5,0.778,1.744259165,60
1.75,0.778,1.697391746,63
2,0.778,1.655875873,69
2.25,0.778,1.690992166,69
2.5,0.778,1.705420342,70
0.7,0.8,2.309580048,40
0.8,0.8,2.216080362,41
0.9,0.8,2.08403054,46
1,0.8,2.059994227,45
1.5,0.8,1.882781365,52
4,0.8,1.919688757,78
0.6,0.85,3.954536327,20
0.7,0.85,3.474538398,23
0.8,0.85,3.15165242,26
0.9,0.85,2.902250886,29
1,0.85,2.813852668,30
0.6,0.9,6.562020538,12
0.7,0.9,5.445112728,15
0.8,0.9,4.688839541,17
0.9,0.9,4.554184061,18
1,0.9,4.084797223,20
1,0.9,4.084797223,20
1.5,0.9,3.125725784,27
2,0.9,3.009006862,28
2.5,0.9,2.737306179,33
4,0.9,2.668499762,37
1,0.919,4.876408797,17
1.25,0.919,4.058296299,20
1.5,0.919,3.529758064,24
1.75,0.919,3.530632058,24
0.7,0.95,10.24458003,8
0.8,0.95,8.049780578,10
0.9,0.95,7.351641485,11
1,0.95,6.345112638,13
1.2,0.95,5.171744936,16
0.9,1,11.85544923,7
1,1,10.57915969,8
1.2,1,8.291730923,10
1.5,1,6.636433543,13
4,1,3.84376343,25
0.7,0.75,1.738237138,96
0.8,0.75,1.660653749,121
0.9,0.75,1.60847179,132
1,0.75,1.55777268,112
1.1,0.75,1.530684522,128
1.2,0.75,1.53444323,129
1.25,0.75,1.496818968,115
1.3,0.75,1.539921293,109
1.35,0.75,1.517265325,118
1.5,0.75,1.514550989,122
1.8,0.75,1.485550991,117
2.1,0.75,1.523530377,104
2.5,0.75,1.55673332,105
3,0.75,1.6291248,93
4,0.75,1.788210278,86
6,0.75,2.130632799,81
0.7,0.8,2.095912381,50
0.8,0.8,2.046648941,50
0.9,0.8,2.025173394,50
1,0.8,1.983576314,51
1.1,0.8,1.944679326,51
1.2,0.8,1.917605711,50
1.25,0.8,1.953830014,50
1.3,0.8,1.921736269,50
1.35,0.8,1.919060976,50
1.5,0.8,1.903882202,53
1.8,0.8,1.853328186,53
2.1,0.8,1.855428222,55
2.5,0.8,1.854868628,59
3,0.8,1.83052171,66
4,0.8,1.903690597,87
6,0.8,2.232514352,78
0.7,0.85,3.494891371,23
0.8,0.85,3.246827145,25
0.9,0.85,2.912447691,29
1,0.85,2.86160147,29
1.1,0.85,2.60716091,33
1.2,0.85,2.682603359,32
1.25,0.85,2.581845726,33
1.3,0.85,2.513679908,34
1.35,0.85,2.553426771,33
1.5,0.85,2.433625693,36
1.8,0.85,2.387227248,37
2.1,0.85,2.330467382,39
2.5,0.85,2.24672105,41
3,0.85,2.25697469,43
4,0.85,2.152077012,56
6,0.85,2.364382247,61
1,0.9,3.983753805,21
1.1,0.9,3.710391011,22
1.2,0.9,3.600286605,23
1.25,0.9,3.614342804,23
1.3,0.9,3.520573256,23
1.35,0.9,3.321653011,25
1.5,0.9,3.252056327,26
1.8,0.9,3.098009947,27
2.1,0.9,2.910443763,30
2.5,0.9,2.810253879,32
3,0.9,2.748124178,33
4,0.9,2.643869054,38
6,0.9,2.653368477,50
1.2,0.95,5.122534559,16
1.25,0.95,5.169392781,16
1.3,0.95,4.74927338,17
1.35,0.95,4.875719494,17
1.5,0.95,4.477035733,19
1.8,0.95,4.079158447,21
2.1,0.95,3.777465284,23
2.5,0.95,3.408365347,26
3,0.95,3.358719076,28
4,0.95,3.259265859,30
6,0.95,3.138838163,37
1.8,1,5.460845624,16
2.1,1,4.976719766,18
2.5,1,4.705940213,19
3,1,4.231902228,22
4,1,3.837778992,25
6,1,3.61876807,30
2.5,1.05,6.072847998,15
3,1.05,5.581244401,17
4,1.05,4.71652554,20
6,1.05,4.542084646,23
3,1.1,6.749956306,14
4,1.1,6.159747927,16
6,1.1,5.274280297,20
4,1.15,7.597815068,13
6,1.15,6.500455192,16
6,1.2,7.726299392,14
6,1.25,9.945139416,11
6,1.275,11.07100808,10
